Location,Analyte,Flow,NumSamples,Quartile,EMC
1671569331_MN,TSS,Outflow,52,0.25,8.75
1671569331_MN,TSS,Outflow,52,0.5,10.5
1671569331_MN,TSS,Outflow,52,0.75,24.0
1671569331_MN,TSS,Outflow,52,0.9,45.19999999999999
-986553804_PA,Copper,Inflow,83,0.1,3.232333326339721
-986553804_PA,Copper,Inflow,83,0.25,4.454694032669067
-986553804_PA,Copper,Inflow,83,0.5,7.934999942779541
-986553804_PA,Copper,Inflow,83,0.75,12.449999809265135
-986553804_PA,Copper,Inflow,83,0.9,20.672000122070312
-986553804_PA,Copper,Outflow,26,0.1,1.25
-986553804_PA,Copper,Outflow,26,0.25,1.25
-986553804_PA,Copper,Outflow,26,0.5,3.2051236629486084
-986553804_PA,Copper,Outflow,26,0.75,8.306549787521362
-986553804_PA,Copper,Outflow,26,0.9,15.84499979019165
1601357644_FL,Phosphorus,Inflow,54,0.1,0.0940970003604889
1601357644_FL,Phosphorus,Inflow,54,0.25,0.13655250146985054
1601357644_FL,Phosphorus,Inflow,54,0.5,0.19548999518156057
1601357644_FL,Phosphorus,Inflow,54,0.75,0.3157475143671036
1601357644_FL,Phosphorus,Inflow,54,0.9,0.38569001257419583
1601357644_FL,Phosphorus,Outflow,41,0.1,0.0430000014603138
1601357644_FL,Phosphorus,Outflow,41,0.25,0.05099000036716461
1601357644_FL,Phosphorus,Outflow,41,0.5,0.07000000029802322
1601357644_FL,Phosphorus,Outflow,41,0.75,0.07998999953269958
1601357644_FL,Phosphorus,Outflow,41,0.9,0.1089899986982346
1601357644_FL,TSS,Inflow,52,0.1,12.010000038146973
1601357644_FL,TSS,Inflow,52,0.25,19.75580501556396
1601357644_FL,TSS,Inflow,52,0.5,36.79999923706055
1601357644_FL,TSS,Inflow,52,0.75,51.82499885559081
1601357644_FL,TSS,Inflow,52,0.9,76.60349731445312
1601357644_FL,TSS,Outflow,39,0.1,2.2799999713897705
1601357644_FL,TSS,Outflow,39,0.25,3.101300001144409
1601357644_FL,TSS,Outflow,39,0.5,4.320000171661377
1601357644_FL,TSS,Outflow,39,0.75,6.330849885940552
1601357644_FL,TSS,Outflow,39,0.9,9.20800018310548
-1290174122_FL,Phosphorus,Inflow,93,0.1,0.08479999750852586
-1290174122_FL,Phosphorus,Inflow,93,0.25,0.2060000002384186
-1290174122_FL,Phosphorus,Inflow,93,0.5,0.3529999852180481
-1290174122_FL,Phosphorus,Inflow,93,0.75,0.5569999814033508
-1290174122_FL,Phosphorus,Inflow,93,0.9,0.7840000152587889
-1290174122_FL,Phosphorus,Outflow,89,0.1,0.020799999684095384
-1290174122_FL,Phosphorus,Outflow,89,0.25,0.04699999839067459
-1290174122_FL,Phosphorus,Outflow,89,0.5,0.07000000029802322
-1290174122_FL,Phosphorus,Outflow,89,0.75,0.1659999936819077
-1290174122_FL,Phosphorus,Outflow,89,0.9,0.2304000020027161
-1290174122_FL,TSS,Inflow,93,0.1,5.520000076293946
-1290174122_FL,TSS,Inflow,93,0.25,10.0
-1290174122_FL,TSS,Inflow,93,0.5,32.0
-1290174122_FL,TSS,Inflow,93,0.75,120.0
-1290174122_FL,TSS,Inflow,93,0.9,193.79999999999995
-1290174122_FL,TSS,Outflow,89,0.1,2.8000000000000007
-1290174122_FL,TSS,Outflow,89,0.25,3.0
-1290174122_FL,TSS,Outflow,89,0.5,7.099999904632568
-1290174122_FL,TSS,Outflow,89,0.75,11.5
-1290174122_FL,TSS,Outflow,89,0.9,19.0
-1693589722_FL,Phosphorus,Inflow,233,0.1,0.03599999845027924
-1693589722_FL,Phosphorus,Inflow,233,0.25,0.06199999898672104
-1693589722_FL,Phosphorus,Inflow,233,0.5,0.1097199991345406
-1693589722_FL,Phosphorus,Inflow,233,0.75,0.1459999978542328
-1693589722_FL,Phosphorus,Inflow,233,0.9,0.1829979985952377
-1693589722_FL,Phosphorus,Outflow,81,0.1,0.007000000216066837
-1693589722_FL,Phosphorus,Outflow,81,0.25,0.02700000070035458
-1693589722_FL,Phosphorus,Outflow,81,0.5,0.03999999910593033
-1693589722_FL,Phosphorus,Outflow,81,0.75,0.05999999865889549
-1693589722_FL,Phosphorus,Outflow,81,0.9,0.09000000357627869
-1693589722_FL,TSS,Inflow,233,0.1,1.5519999980926522
-1693589722_FL,TSS,Inflow,233,0.25,3.601999998092651
-1693589722_FL,TSS,Inflow,233,0.5,7.692490100860596
-1693589722_FL,TSS,Inflow,233,0.75,12.44400024414062
